Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,650111,483176,30917,136018,108723,23185459,1286,0
Plain Text,259798,217535,0,42263,0,6964884,40,0
XML,116459,93484,2137,20838,0,5651393,387,0
C Header,83848,50356,20298,13194,1367,3076676,915,0
Python,28805,26617,723,1465,871,1688105,40,0
Shell,15300,10751,1794,2755,960,489452,216,0
Meson,12623,10960,318,1345,702,426962,71,0
Markdown,12022,9831,0,2191,0,632767,50,0
Autoconf,11488,7852,1571,2065,434,471499,130,0
Systemd,9050,8335,0,715,0,248740,557,0
HTML,3259,3142,9,108,0,246454,8,0
BASH,3175,2411,392,372,441,104224,3,0
Perl,2878,2721,52,105,106,121685,2,0
Snakemake,1355,709,308,338,4,66335,51,0
YAML,1039,871,80,88,0,30572,23,0
CSS,574,522,16,36,0,10932,1,0
Patch,502,402,0,100,0,10282,1,0
Extensible Stylesheet Language Transformations,367,329,0,38,0,13610,2,0
CodeQL,166,79,75,12,17,5921,2,0
JSON,151,138,0,13,0,3768,2,0
Bazel,121,75,27,19,15,4349,1,0
AWK,116,99,9,8,3,2537,9,0
Emacs Lisp,43,30,10,3,0,1838,2,0
Vim Script,21,8,10,3,0,811,1,0
Makefile,19,10,3,6,0,430,3,0
SVG,18,16,2,0,0,3782,2,0
Dockerfile,5,5,0,0,0,156,1,0
sed,2,1,1,0,0,72,1,0
