Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,328585,235187,23895,69503,53551,10613576,623,0
XML,53497,42004,3868,7625,0,2203251,219,0
C Header,31657,16588,9238,5831,436,1122241,384,0
Autoconf,3530,2411,695,424,170,136622,104,0
Perl,1911,1764,39,108,95,78588,3,0
Systemd,1698,1505,0,193,0,51620,145,0
BASH,1349,976,214,159,249,39085,3,0
Python,1332,1073,148,111,110,48231,9,0
m4,942,738,150,54,0,60214,9,0
Snakemake,603,310,137,156,0,27697,20,0
Shell,425,315,51,59,51,13288,7,0
Extensible Stylesheet Language Transformations,362,318,0,44,0,13800,2,0
Makefile,58,31,20,7,4,1669,3,0
YAML,14,14,0,0,0,616,1,0
Vim Script,9,7,2,0,0,258,2,0
Markdown,9,6,0,3,0,550,1,0
Emacs Lisp,7,3,3,1,0,210,1,0
