Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,210546,151310,16271,42965,34094,6657059,419,0
XML,38162,30564,2653,4945,0,1873530,150,0
C Header,19574,9805,6217,3552,280,695725,243,0
Autoconf,2205,1424,510,271,51,85243,86,0
Perl,1870,1733,34,103,90,77480,2,0
Python,1656,1089,389,178,99,56198,10,0
Systemd,1308,1169,0,139,0,41308,102,0
BASH,1301,937,212,152,240,37643,2,0
m4,666,597,29,40,0,42366,5,0
Snakemake,613,303,146,164,0,28890,23,0
Shell,398,285,61,52,47,12157,6,0
Extensible Stylesheet Language Transformations,248,216,0,32,0,7398,2,0
Plain Text,235,226,0,9,0,5605,2,0
CSS,196,151,3,42,0,3097,1,0
JavaScript,185,148,6,31,16,7059,3,0
ReStructuredText,174,140,0,34,0,5011,5,0
Makefile,58,31,20,7,4,1669,3,0
HTML,17,14,0,3,0,497,1,0
YAML,14,14,0,0,0,655,1,0
Vim Script,9,7,2,0,0,258,2,0
Emacs Lisp,7,3,3,1,0,210,1,0
