Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,696982,518208,33508,145266,116837,25120150,1348,0
Plain Text,272942,228614,0,44328,0,7349857,42,0
XML,122899,98563,2240,22096,0,6032167,399,0
C Header,89122,53974,21194,13954,1470,3310861,969,0
Python,33801,30349,1019,2433,1356,1854888,47,0
Shell,25586,18462,2986,4138,1407,871949,255,0
Meson,12525,11056,328,1141,718,438985,72,0
Autoconf,12514,8478,1810,2226,484,515251,143,0
Markdown,11764,9600,0,2164,0,605776,52,0
Systemd,8356,7523,0,833,0,240258,586,0
BASH,3300,2462,453,385,478,112171,2,0
HTML,3288,3171,9,108,0,248994,8,0
YAML,1576,1295,102,179,0,44852,28,0
Snakemake,1287,677,283,327,4,60436,52,0
CSS,574,522,16,36,0,10932,1,0
Patch,486,389,0,97,0,9963,1,0
Extensible Stylesheet Language Transformations,367,329,0,38,0,13612,2,0
JSON,358,346,0,12,0,9481,2,0
Bazel,227,183,24,20,14,7618,2,0
CodeQL,169,82,75,12,18,6054,2,0
AWK,116,99,9,8,3,2537,9,0
LD Script,51,40,5,6,0,1856,1,0
Emacs Lisp,43,30,10,3,0,1838,2,0
Vim Script,21,8,10,3,0,812,1,0
SVG,18,16,2,0,0,3782,2,0
Makefile,13,7,2,4,0,275,2,0
Dockerfile,5,5,0,0,0,156,1,0
sed,2,1,1,0,0,72,1,0
