Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,137240,98383,10756,28101,22966,4365793,255,0
XML,27767,22194,2063,3510,0,1373627,118,0
C Header,12364,6290,3774,2300,152,438383,155,0
Autoconf,1816,1181,412,223,43,69361,68,0
Perl,1539,1455,32,52,60,66495,1,0
Systemd,1117,990,0,127,0,35376,78,0
Shell,1036,788,127,121,103,37273,7,0
BASH,864,610,164,90,188,26409,1,0
Snakemake,845,421,202,222,0,44652,21,0
Python,767,549,90,128,100,26496,7,0
m4,678,603,33,42,0,41027,5,0
Plain Text,325,286,0,39,0,9591,3,0
JavaScript,185,148,6,31,16,7059,3,0
Makefile,58,31,20,7,4,1669,3,0
Extensible Stylesheet Language Transformations,50,39,0,11,0,1607,1,0
AWK,13,11,0,2,0,192,1,0
Vim Script,8,6,2,0,0,228,2,0
Emacs Lisp,7,3,3,1,0,210,1,0
