Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,316494,225247,26291,64956,50230,10187152,594,0
HEX,63488,63488,0,0,0,4225824,1,0
XML,51515,41312,3482,6721,0,2533294,202,0
C Header,31363,16465,9249,5649,400,1106777,361,0
Autoconf,3326,2222,699,405,182,126216,107,0
Python,1926,1257,444,225,134,66564,13,0
Perl,1904,1757,39,108,95,78300,3,0
Systemd,1643,1456,0,187,0,49592,142,0
BASH,1303,939,212,152,240,37694,2,0
m4,1253,1139,48,66,0,67757,8,0
Snakemake,638,323,148,167,0,30019,23,0
Shell,420,300,64,56,53,12999,6,0
Extensible Stylesheet Language Transformations,294,258,0,36,0,8880,2,0
Plain Text,239,230,0,9,0,5703,2,0
CSS,196,151,3,42,0,3097,1,0
JavaScript,185,148,6,31,16,7059,3,0
ReStructuredText,174,140,0,34,0,5011,5,0
Makefile,58,31,20,7,4,1669,3,0
HTML,17,14,0,3,0,497,1,0
YAML,14,14,0,0,0,668,1,0
Vim Script,9,7,2,0,0,258,2,0
Emacs Lisp,7,3,3,1,0,210,1,0
