Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,31942,23057,4845,4040,5372,830531,273,0
C Header,11803,6727,3363,1713,176,378440,232,0
Perl,2978,2565,207,206,170,77267,10,0
Assembly,2914,2252,383,279,42,60011,67,0
Plain Text,2225,1596,0,629,0,84248,3,0
Snakemake,2031,1229,444,358,0,81141,18,0
Makefile,1426,1044,136,246,42,36338,13,0
HTML,1088,806,0,282,0,96154,2,0
XML,1074,953,0,121,0,38829,7,0
Shell,787,532,175,80,67,18791,9,0
License,753,636,0,117,0,39761,3,0
Autoconf,398,272,61,65,50,11310,3,0
m4,276,254,4,18,0,8056,1,0
Module-Definition,252,187,53,12,5,8342,2,0
BASH,105,72,3,30,0,1635,3,0
D,50,12,35,3,1,2081,1,0
