Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,675731,502361,32250,141120,113170,24254569,1321,0
Plain Text,268088,224560,0,43528,0,7206349,42,0
XML,119685,96086,2169,21430,0,5852224,393,0
C Header,85723,51649,20522,13552,1403,3165597,939,0
Python,29808,26969,873,1966,1148,1714759,43,0
Shell,19305,13661,2238,3406,1127,637492,233,0
Meson,13138,11425,329,1384,740,447408,73,0
Autoconf,11981,8161,1696,2124,450,488854,140,0
Markdown,11403,9314,0,2089,0,586690,50,0
Systemd,7890,7143,0,747,0,229246,559,0
BASH,3333,2495,443,395,476,111301,3,0
HTML,3283,3166,9,108,0,248535,8,0
Perl,2879,2722,52,105,106,121851,2,0
Snakemake,1407,737,319,351,4,69039,52,0
YAML,1352,1095,102,155,0,39575,26,0
CSS,574,522,16,36,0,10932,1,0
Patch,486,389,0,97,0,9963,1,0
Extensible Stylesheet Language Transformations,367,329,0,38,0,13612,2,0
Bazel,303,222,43,38,23,11945,1,0
CodeQL,169,82,75,12,18,6054,2,0
JSON,151,138,0,13,0,3768,2,0
AWK,116,99,9,8,3,2537,9,0
Emacs Lisp,43,30,10,3,0,1838,2,0
Makefile,31,16,5,10,0,740,5,0
Vim Script,21,8,10,3,0,811,1,0
SVG,18,16,2,0,0,3782,2,0
Dockerfile,5,5,0,0,0,156,1,0
sed,2,1,1,0,0,72,1,0
