Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,388748,278460,28857,81431,63676,12800741,718,0
XML,64310,50466,4408,9436,0,2810367,249,0
C Header,37141,20111,10439,6591,581,1333876,444,0
Python,19763,19195,316,252,237,1298162,16,0
Autoconf,8647,5880,1117,1650,204,321104,117,0
Systemd,2211,1958,0,253,0,66437,207,0
Shell,2140,1773,157,210,138,60077,26,0
Perl,2079,1988,27,64,40,85637,3,0
BASH,1641,1293,196,152,279,49028,4,0
m4,1180,903,216,61,0,74752,13,0
Snakemake,686,361,151,174,2,32042,23,0
HTML,544,453,3,88,0,23261,1,0
Patch,492,395,0,97,0,9982,1,0
Extensible Stylesheet Language Transformations,363,319,0,44,0,13856,2,0
Markdown,159,105,0,54,0,8662,5,0
Makefile,79,52,20,7,4,2316,5,0
Bazel,35,9,19,7,0,1066,1,0
Vim Script,24,10,11,3,0,878,2,0
Emacs Lisp,23,12,8,3,0,935,1,0
YAML,14,14,0,0,0,616,1,0
