Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,702651,522271,33867,146513,117870,25338588,1358,0
Plain Text,272963,228635,0,44328,0,7350167,42,0
XML,123852,99301,2255,22296,0,6088056,400,0
C Header,89435,54184,21232,14019,1475,3318983,975,0
Python,34254,30714,1046,2494,1402,1869543,48,0
Shell,27048,19551,3180,4317,1461,924416,266,0
Meson,12949,11476,330,1143,715,447384,72,0
Autoconf,12100,8178,1748,2174,402,499685,142,0
Markdown,11773,9607,0,2166,0,606275,52,0
Systemd,8473,7635,0,838,0,243695,597,0
BASH,3378,2514,465,399,486,114856,2,0
HTML,3288,3171,9,108,0,248994,8,0
YAML,1562,1295,90,177,0,44000,28,0
Snakemake,1322,704,285,333,4,63165,53,0
CSS,574,522,16,36,0,10932,1,0
Patch,486,389,0,97,0,9963,1,0
Extensible Stylesheet Language Transformations,367,329,0,38,0,13612,2,0
JSON,358,346,0,12,0,9481,2,0
Bazel,251,210,24,17,13,8388,2,0
CodeQL,169,82,75,12,18,6054,2,0
AWK,116,99,9,8,3,2537,9,0
LD Script,58,41,9,8,0,2279,1,0
Emacs Lisp,43,30,10,3,0,1838,2,0
Vim Script,21,8,10,3,0,812,1,0
SVG,18,16,2,0,0,3782,2,0
Makefile,13,7,2,4,0,275,2,0
Dockerfile,5,5,0,0,0,156,1,0
sed,2,1,1,0,0,72,1,0
