Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,112108,75202,24222,12684,17706,3513052,147,0
HTML,43343,37774,982,4587,0,1578232,133,0
C Header,17051,5272,9936,1843,66,649407,86,0
Shell,8432,6343,1320,769,940,247250,20,0
Plain Text,2603,2026,0,577,0,112306,8,0
Perl,1796,1096,496,204,151,51850,13,0
Autoconf,1685,1087,339,259,151,48217,32,0
Module-Definition,1055,725,18,312,0,22055,7,0
Prolog,973,973,0,0,0,12638,18,0
m4,768,633,32,103,0,20021,19,0
Makefile,735,205,446,84,41,28391,8,0
Expect,381,380,1,0,0,6753,30,0
Go Template,230,191,0,39,0,7074,1,0
License,192,166,0,26,0,8394,4,0
Windows Resource-Definition Script,84,35,28,21,0,2003,1,0
C++,59,55,0,4,11,987,1,0
AWK,56,56,0,0,3,1575,1,0
Forth,53,53,0,0,0,1794,1,0
