Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,77244,53373,15714,8157,12202,2339058,105,0
HTML,33086,28733,915,3438,0,1222334,108,0
C Header,9638,4392,4147,1099,101,357235,53,0
Prolog,973,973,0,0,0,12638,18,0
Perl,885,375,430,80,47,30891,9,0
Module-Definition,736,642,90,4,0,17678,2,0
Autoconf,655,467,129,59,74,20058,1,0
Shell,624,454,118,52,203,19842,7,0
Expect,441,440,1,0,0,7663,30,0
Go Template,230,191,0,39,0,7074,1,0
License,118,112,0,6,0,5696,2,0
Windows Resource-Definition Script,84,35,28,21,0,2003,1,0
C++,59,55,0,4,11,987,1,0
Plain Text,56,47,0,9,0,1529,2,0
