Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,681367,536525,65731,79111,100320,24685569,1588,0
C Header,151159,104618,35369,11172,1596,6554574,630,0
Assembly,54969,45455,5194,4320,998,1668517,130,0
Makefile,7729,6250,66,1413,2,394359,97,0
Shell,6552,5782,225,545,605,201727,19,0
CSS,2184,1893,73,218,0,39350,2,0
Plain Text,2081,1695,0,386,0,84397,13,0
C++,1042,786,124,132,126,32357,3,0
Perl,731,503,101,127,50,20892,3,0
XML Schema,258,228,0,30,0,13985,1,0
License,103,88,0,15,0,3611,1,0
HTML,80,63,7,10,0,2348,3,0
Coq,66,66,0,0,1,1767,8,0
Python,59,49,2,8,13,1743,2,0
BASH,58,43,4,11,7,2614,1,0
V,31,31,0,0,0,966,1,0
