Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,588725,457931,60491,70303,86789,20827371,1415,0
C Header,137831,97168,30908,9755,1294,6053769,561,0
Assembly,49079,40665,4482,3932,960,1496756,102,0
Makefile,6338,5179,49,1110,2,319387,90,0
Shell,5975,5282,179,514,538,182490,19,0
Plain Text,2520,1983,0,537,0,98261,17,0
CSS,2168,1880,73,215,0,39113,2,0
C++,1036,782,122,132,126,32153,3,0
Perl,550,382,80,88,44,15814,2,0
XML Schema,199,176,0,23,0,10853,1,0
License,89,74,0,15,0,3403,1,0
HTML,80,63,7,10,0,2348,3,0
Coq,73,73,0,0,1,1997,8,0
BASH,58,43,4,11,7,2614,1,0
V,32,32,0,0,1,1053,1,0
