Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Python,386514,307075,36113,43326,23793,15206774,2724,0
Plain Text,145560,105645,0,39915,0,6272691,578,0
JavaScript,26194,18218,3993,3983,3278,1187918,104,0
HTML,5267,4727,11,529,0,237503,353,0
CSS,5185,4117,125,943,0,134992,40,0
JSON,1575,1572,0,3,0,75410,51,0
SVG,1135,1131,4,0,1,550935,30,0
XML,235,232,3,0,0,9304,15,0
Batch,199,174,1,24,69,5353,1,0
Makefile,171,134,7,30,3,5971,2,0
YAML,171,149,5,17,0,4288,7,0
ReStructuredText,114,78,0,36,0,4273,4,0
License,102,82,0,20,0,5689,4,0
INI,69,56,6,7,0,1555,1,0
Markdown,55,42,0,13,0,2568,5,0
Shell,28,16,8,4,3,809,1,0
Autoconf,16,16,0,0,0,276,1,0
Smarty Template,9,8,0,1,0,392,2,0
CSV,4,4,0,0,0,57,1,0
TOML,3,3,0,0,0,109,1,0
