Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Python,458295,376724,38352,43219,24309,16808439,2754,0
Plain Text,155249,111564,0,43685,0,6509399,619,0
JavaScript,27915,19045,4063,4807,3818,1333904,111,0
HTML,5508,4958,13,537,0,248706,360,0
CSS,5502,4369,139,994,0,142558,44,0
JSON,1645,1642,0,3,0,77097,53,0
SVG,1417,1413,4,0,1,554316,31,0
YAML,518,466,7,45,0,14702,11,0
XML,230,228,2,0,0,9056,14,0
Batch,208,182,1,25,72,5635,1,0
Makefile,184,144,8,32,3,6362,2,0
ReStructuredText,118,80,0,38,0,4435,4,0
License,102,82,0,20,0,5689,4,0
INI,89,74,6,9,0,1883,1,0
Markdown,55,42,0,13,0,2568,5,0
Shell,28,16,8,4,3,809,1,0
Smarty Template,26,24,0,2,0,775,3,0
Autoconf,22,21,1,0,0,392,2,0
TOML,7,6,0,1,0,200,1,0
CSV,4,4,0,0,0,57,1,0
