Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Python,296306,226418,34240,35648,17326,11503435,2211,0
Plain Text,119174,86390,0,32784,0,4564492,390,0
JavaScript,16298,12001,2133,2164,2523,731145,42,0
HTML,3892,3382,17,493,0,178968,209,0
CSS,3337,2601,110,626,0,67837,27,0
JSON,1424,1421,0,3,0,74310,44,0
XML,220,218,2,0,0,9108,15,0
Batch,197,173,1,23,65,5630,2,0
Makefile,167,133,5,29,3,5765,2,0
SVG,133,133,0,0,1,52598,23,0
License,102,82,0,20,0,5689,4,0
ReStructuredText,83,57,0,26,0,3195,3,0
Shell,28,16,8,4,3,809,1,0
Autoconf,16,16,0,0,0,378,1,0
CSV,4,4,0,0,0,57,1,0
Smarty Template,3,3,0,0,0,130,1,0
