Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,105282,81214,11091,12977,17982,3128880,145,0
C Header,63606,29952,23380,10274,427,2037942,723,0
Objective C,40767,31965,3016,5786,3001,1274229,115,0
C,22770,18548,2109,2113,3955,676048,23,0
Objective C++,21810,15187,3271,3352,2643,639129,109,0
Plain Text,2242,1920,0,322,0,60899,3,0
Happy,1618,1426,0,192,0,42501,2,0
Autoconf,926,702,201,23,43,11164,5,0
Perl,887,643,118,126,112,23699,6,0
Expect,693,687,3,3,0,19404,4,0
CSS,568,370,89,109,0,8704,2,0
License,122,89,0,33,0,5072,3,0
Shell,56,35,8,13,6,957,2,0
JavaScript,29,22,1,6,2,464,1,0
