Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,1770476,1349234,199153,222089,142221,70820978,5380,0
C,1427574,1032936,225689,168949,192164,42124946,1902,0
C Header,1064823,623813,275444,165566,22876,39052644,6349,0
HTML,337479,284255,13776,39448,0,18940651,1569,0
JavaScript,181814,112338,50243,19233,19345,6690841,566,0
Python,174978,129811,29115,16052,13670,6254212,733,0
Shell,140301,114275,14540,11486,10424,4255282,117,0
Objective C++,112992,78764,16839,17389,8203,4042183,532,0
Assembly,45565,40853,1050,3662,63,1115329,28,0
m4,33276,23057,6843,3376,0,1191718,18,0
Plain Text,26411,23839,0,2572,0,1137310,175,0
Perl,24799,17404,4630,2765,2146,676219,24,0
Autoconf,19124,15353,1914,1857,2293,937022,50,0
IDL,15907,8571,5709,1627,497,579030,69,0
Makefile,14812,10760,1778,2274,952,619826,129,0
JSON,10781,10773,0,8,0,754492,448,0
TCL,9599,7447,1283,869,735,299291,30,0
CSS,8513,6805,462,1246,0,164828,83,0
Patch,7667,7169,0,498,0,250345,28,0
License,6107,5204,0,903,0,324161,70,0
Protocol Buffers,5449,2980,1733,736,0,415762,44,0
Happy,4652,4015,0,637,0,123153,3,0
Objective C,3942,2630,511,801,202,121367,31,0
Module-Definition,3054,2782,249,23,1,73083,20,0
Windows Resource-Definition Script,2939,1923,596,420,0,94457,26,0
PHP,2620,1597,693,330,256,97796,5,0
XML,2614,2013,368,233,0,113714,35,0
C#,2040,1223,635,182,105,73756,11,0
BASH,1661,843,609,209,180,52311,13,0
MSBuild,1629,1385,243,1,4,119654,8,0
GLSL,798,567,95,136,5,22483,27,0
LEX,716,525,115,76,0,26136,2,0
Go Template,705,635,0,70,0,22057,10,0
Batch,587,232,298,57,25,27199,24,0
SVG,482,454,13,15,0,74779,13,0
Java,414,265,104,45,14,13830,4,0
Swig,411,347,0,64,0,16612,2,0
CSV,341,341,0,0,0,27193,2,0
Extensible Stylesheet Language Transformations,332,322,0,10,0,11992,2,0
AWK,242,165,71,6,32,7624,4,0
Alex,215,182,0,33,0,4517,1,0
AppleScript,205,110,58,37,5,6772,12,0
Go,189,150,6,33,28,3744,1,0
CMake,155,61,65,29,4,5961,1,0
DOT,87,76,0,11,0,1898,4,0
Properties File,61,33,23,5,0,2583,3,0
YAML,52,19,24,9,0,1661,4,0
R,37,27,2,8,2,814,2,0
Ruby,32,14,8,10,5,937,1,0
F#,21,16,0,5,0,381,1,0
