Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,1975019,1506497,218610,249912,158378,77732150,6047,0
C,1488053,1074971,233625,179457,199457,44170127,2081,0
C Header,1172675,686329,300528,185818,23392,42999826,7189,0
HTML,433649,374282,13971,45396,0,24476497,1672,0
JavaScript,221642,144609,55853,21180,21262,8049852,634,0
Shell,189051,156094,17864,15093,13879,5637481,138,0
Python,148660,110355,22902,15403,11419,5203037,618,0
Objective C++,116611,81336,17367,17908,8446,4174805,547,0
Assembly,45793,41168,974,3651,62,1124543,27,0
m4,44448,30935,8992,4521,0,1573985,40,0
Plain Text,35232,32016,0,3216,0,1759846,193,0
XML,29179,24310,1339,3530,0,1140114,71,0
Perl,25151,17659,4686,2806,2207,685424,26,0
Autoconf,21985,17458,2214,2313,2790,1017092,60,0
IDL,16593,8921,5974,1698,497,603306,73,0
Makefile,15574,11471,1800,2303,937,644131,127,0
Patch,12742,11936,0,806,0,431180,34,0
JSON,11624,11607,0,17,0,781694,489,0
CSS,10306,8230,546,1530,0,194927,101,0
TCL,9599,7447,1283,869,735,299291,30,0
Happy,6571,5646,0,925,0,169133,4,0
License,6249,5324,0,925,0,331335,75,0
Protocol Buffers,5744,3108,1835,801,0,424999,50,0
LaTeX,5516,5499,15,2,0,43554,2,0
Objective C,3942,2630,511,801,202,121367,31,0
Windows Resource-Definition Script,3180,2060,665,455,0,101431,31,0
Module-Definition,3112,2826,260,26,1,74687,23,0
PHP,2620,1597,693,330,256,97796,5,0
C#,2040,1223,635,182,105,73756,11,0
BASH,1698,857,628,213,181,53927,14,0
MSBuild,1629,1385,243,1,4,119654,8,0
LEX,1053,742,179,132,0,33689,3,0
GLSL,798,567,95,136,5,22483,27,0
Go Template,705,635,0,70,0,22057,10,0
Batch,685,281,339,65,26,31273,28,0
CSV,567,551,0,16,0,42781,3,0
SVG,482,454,13,15,0,74779,13,0
Swig,451,363,20,68,0,18047,3,0
Java,414,265,104,45,14,13830,4,0
AWK,347,237,86,24,42,9422,6,0
Extensible Stylesheet Language Transformations,332,322,0,10,0,11992,2,0
SQL,319,319,0,0,0,45123,12,0
Document Type Definition,227,210,0,17,0,11347,5,0
Alex,215,182,0,33,0,4517,1,0
AppleScript,205,110,58,37,5,6772,12,0
Go,189,150,6,33,28,3744,1,0
Emacs Lisp,168,109,35,24,1,6312,1,0
CMake,155,61,65,29,4,5961,1,0
sed,153,126,18,9,0,2187,3,0
DOT,87,76,0,11,0,1898,4,0
Properties File,65,37,23,5,0,2769,4,0
YAML,52,19,24,9,0,1661,4,0
Ruby,32,14,8,10,5,937,1,0
F#,21,16,0,5,0,381,1,0
R,15,11,1,3,0,252,1,0
