Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,104156,80377,10917,12862,17651,3082829,145,0
C Header,64004,30074,23583,10347,428,2046611,726,0
Objective C,38248,30551,2424,5273,2871,1173903,117,0
C,22770,18548,2109,2113,3955,670700,23,0
Objective C++,21389,14865,3223,3301,2577,625952,109,0
Plain Text,2255,1933,0,322,0,61547,3,0
Happy,1596,1405,0,191,0,42024,2,0
Autoconf,926,702,201,23,43,11164,5,0
Perl,882,637,118,127,111,23430,6,0
Expect,688,688,0,0,0,19481,4,0
CSS,556,362,87,107,0,8441,2,0
License,122,89,0,33,0,5072,3,0
Shell,56,35,8,13,6,957,2,0
JavaScript,29,22,1,6,2,464,1,0
