Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
JavaScript,174971,103627,50700,20644,13652,5987824,1150,0
C++,164597,122340,20495,21762,29505,5081862,221,0
C Header,108188,47773,45431,14984,1170,3766032,894,0
Objective C,49226,34791,6333,8102,6064,1701091,120,0
Objective C++,45819,33299,4922,7598,5147,1329230,118,0
HTML,45681,40003,361,5317,0,1457604,1050,0
Plain Text,45184,44648,0,536,0,2663078,1061,0
C,8609,5416,1733,1460,1959,248649,10,0
Perl,6118,4233,1092,793,586,192361,27,0
Happy,1807,1597,0,210,0,49451,2,0
Autoconf,1034,833,160,41,43,12602,5,0
CSS,533,387,35,111,0,8268,13,0
Expect,516,511,3,2,0,15321,3,0
XML,327,294,4,29,0,11095,13,0
License,125,92,0,33,0,5390,3,0
Shell,56,35,8,13,6,957,2,0
Extensible Stylesheet Language Transformations,36,30,0,6,0,1321,2,0
Makefile,3,3,0,0,0,110,1,0
