Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
JavaScript,174295,103101,50655,20539,13595,5966108,1139,0
C++,112787,87113,11821,13853,20313,3413321,145,0
C Header,63966,31107,22519,10340,502,2063849,716,0
Objective C,44114,34601,3295,6218,3622,1404450,106,0
Plain Text,30604,30283,0,321,0,1828219,552,0
Objective C++,26714,18818,3783,4113,3228,785926,112,0
C,22948,18726,2109,2113,3955,683955,23,0
HTML,22580,20376,166,2038,0,842130,552,0
Perl,3028,2169,396,463,310,87140,10,0
Happy,1642,1449,0,193,0,43341,2,0
Autoconf,1009,752,225,32,43,12197,5,0
Expect,744,738,3,3,0,20809,4,0
CSS,624,415,88,121,0,9558,11,0
License,122,89,0,33,0,5072,3,0
XML,101,88,0,13,0,4194,2,0
Shell,71,42,11,18,7,1558,3,0
Makefile,3,3,0,0,0,110,1,0
