Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Java,611391,361839,161168,88384,52519,21721737,2616,0
XML,63726,50786,5433,7507,0,2685002,217,0
XML Schema,50890,41182,0,9708,0,1715989,56,0
Properties File,36664,21879,11102,3683,0,2657704,699,0
JavaServer Pages,10211,9323,5,883,770,428599,295,0
HTML,5921,3769,1573,579,0,247731,100,0
SVG,3874,3701,119,54,0,292078,7,0
Document Type Definition,3344,2594,0,750,0,105678,8,0
Plain Text,2810,2061,0,749,0,108881,46,0
Shell,1775,1054,530,191,218,59442,15,0
License,1350,1111,0,239,0,71873,2,0
Batch,1265,1109,0,156,261,45674,12,0
CSS,1037,771,98,168,0,18919,5,0
Extensible Stylesheet Language Transformations,939,855,0,84,0,32519,4,0
Perl,471,314,107,50,64,16866,1,0
Markdown,413,298,0,115,0,17372,5,0
JSON,375,372,0,3,0,22945,15,0
YAML,125,94,25,6,0,7420,2,0
Dockerfile,61,20,29,12,0,2661,1,0
C Header,31,15,15,1,0,1198,1,0
