Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
HTML,120418,86000,9197,25221,0,5629086,684,0
JavaScript,99639,74617,14934,10088,8514,3302989,428,0
Java,68410,39359,17459,11592,3817,2166866,674,0
CSS,10905,8599,696,1610,0,206910,84,0
XML,4752,3678,466,608,0,181144,89,0
JavaServer Pages,3552,2965,11,576,21,113196,133,0
Freemarker Template,2967,2824,53,90,835,111751,126,0
Plain Text,2372,2142,0,230,0,109489,113,0
Properties File,348,183,104,61,0,14202,44,0
SVG,319,319,0,0,0,23566,5,0
ActionScript,51,42,2,7,4,1359,1,0
Extensible Stylesheet Language Transformations,41,35,0,6,0,1265,3,0
License,10,8,0,2,0,345,1,0
Shell,3,1,1,1,0,85,1,0
