Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Java,78902,40941,25793,12168,4066,2547021,704,0
JavaScript,45919,31747,8272,5900,6390,1305192,237,0
HTML,28609,12156,7157,9296,0,659723,94,0
XML,5622,4372,520,730,0,215891,105,0
CSS,3827,3106,158,563,0,68482,58,0
JavaServer Pages,3767,3131,11,625,28,118843,138,0
Freemarker Template,2938,2781,59,98,829,104889,128,0
Plain Text,1680,1571,0,109,0,68782,111,0
Properties File,360,184,114,62,0,14795,44,0
SVG,349,349,0,0,0,25554,6,0
ActionScript,249,118,97,34,10,8564,3,0
License,206,172,0,34,0,11637,2,0
Extensible Stylesheet Language Transformations,41,35,0,6,0,1265,3,0
Shell,3,1,1,1,0,85,1,0
