Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
JavaScript,113944,79924,22342,11678,15354,3427549,436,0
Java,95984,49303,31803,14878,4525,3214481,806,0
HTML,21370,19835,889,646,0,853433,137,0
XML,7749,6275,559,915,0,288646,138,0
Plain Text,6242,5527,0,715,0,310268,187,0
JavaServer Pages,5759,4879,26,854,42,165405,180,0
Freemarker Template,5269,4888,93,288,1159,165660,171,0
CSS,4372,3506,183,683,0,79668,67,0
ActionScript,676,359,213,104,55,23470,4,0
Properties File,665,456,130,79,0,42648,52,0
License,206,172,0,34,0,11637,2,0
Document Type Definition,114,90,0,24,0,2447,1,0
Extensible Stylesheet Language Transformations,75,65,0,10,0,2408,5,0
SVG,11,10,1,0,0,763,1,0
Batch,6,6,0,0,0,477,2,0
