Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Java,267796,148307,80829,38660,18354,9362147,1910,0
JavaScript,130029,112173,12680,5176,21681,4385032,479,0
HTML,24880,22567,1732,581,0,971171,161,0
XML,16991,12683,2581,1727,0,662920,331,0
Plain Text,9508,8368,0,1140,0,464866,307,0
Freemarker Template,9163,5678,3163,322,1351,313028,198,0
JavaServer Pages,7659,6518,138,1003,64,222708,248,0
CSS,5836,4516,498,822,0,129101,84,0
Properties File,3249,2185,882,182,0,245991,109,0
Document Type Definition,1646,1313,0,333,0,36875,18,0
ActionScript,676,359,213,104,55,22970,4,0
Extensible Stylesheet Language Transformations,230,216,0,14,0,8112,7,0
License,206,172,0,34,0,11657,2,0
SVG,11,10,1,0,0,752,1,0
